X,Y,Z,Name,description,gx_media_links,Image,Image 1,Image 2,Source
-12.7665663,36.0645926,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-13.934071,36.6466365,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-14.7207374,36.5111428,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-14.70016,35.8867754,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-14.2384477,34.2295255,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-14.5267604,33.7415415,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-14.8979139,33.3373614,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-15.1396131,32.9141284,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-15.535121,32.173236,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-15.754561,31.1982456,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-15.7878065,30.8809597,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-15.8097792,30.4935986,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-15.7102956,29.9941295,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-15.4252577,29.4084445,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-15.4252577,28.466223,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-15.4469782,28.3413547,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-14.7111464,28.1567142,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-14.3390079,28.3021402,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-13.997035,28.8325904,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-13.7663221,29.36058,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-13.3832057,30.4493387,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-12.813336,30.9461756,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-12.7420768,31.1280434,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-12.4686836,31.3186779,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
-12.2519823,31.4033234,0,Save The Iberian Orca,,https://www.youtube.com/embed/IpE91-Xk_Og,,,,
